"","","","","Page 2","","","","","","","","","",""
"Arachchikattuwa","2020.03.04","755","2922","","","","","","","","","","",""
"Pallama","2020.03.04","2822","9175","","","","","","","","","","",""
"පුත්තලම","","","","","","","","","","","","","",""
"Drought
Gj;jsk;    
Nawagaththegama
වයඹ පලාත","2020.03.10","338","940","","","","","","","","","","","Distribution of drinking water"
"Puttalam
7","","","","","","","","","","","","","",""
"tlNky;khfhzk;","","","","","","","","","","","","","",""
"Anamaduwa","2020.03.06","1140","3556","","","","","","","","","","",""
"North Western","","","","","","","","","","","","","",""
"Mahakumbukkadawala","2020.03.05","6215","19328","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","11270","35921","0","0","0","0","0","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","11270","35921","0","0","0","0","0","0","0","0","0","0",""
"මාතර","","","","","","","","","","","","","",""
"8
Pitabeddara
Drought
khj;jiw","2020.03.11","645","2685","","","","","","","","","","",""
"Matara","","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","645","2685","0","0","0","0","0","0","0","0","0","0",""
"දකුනු පලාත","","","","","","","","","","","","","",""
"Balapitiya
ගාල්ල","","51","191","","","","","51","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"9
High Wind
fhyp       
Nagoda
Southern","2020.03.17","2","5","","","","","2","","","","","",""
"Galle","","","","","","","","","","","","","",""
"Niyagama","","2","7","","","","","2","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","55","203","0","0","0","0","55","0","0","0","0","0",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","700","2888","0","0","0","0","55","0","0","0","0","0",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","85388","336174","0","0","0","0","56","0","0","1","1","6",""
