"","","","Islandwide Water Level & Rainfall Situation in Major Rivers","","","","","","","",""
"DATE :","27-Sep-2025","","","","","","","TIME :","12:30 AM","",""
"","","","Gauging Station","","","","","","","",""
"","","","","","","","Water","Water","","Water",""
"","","","","","","","","","","","15 Hr RF"
"","","","","","Minor","Major","Level at","Level at","","Level",""
"River Basin","Tributory/River","","","Alert","","","","","Remarks","","in mm at"
"","","Station","Unit","","Flood","Flood","11:00","12:00","","Rising or",""
"","","","","Level","","","","","","","12:00 AM"
"","","","","","Level","Level","PM","AM","","Falling",""
"","Kelani Ganga","Nagalagam Street","ft","4.00","5.00","7.00","2.00","2.10","Normal","","-"
"","Kelani Ganga","Hanwella","m","7.00","8.00","10.00","4.04","4.02","Normal","","9.2"
"","Kelani Ganga","Glencourse","m","15.00","16.50","19.00","11.93","11.91","Normal","","8.7"
"Kelani Ganga","","","","","","","","","","",""
"","Kelani Ganga","Kithulgala","m","3.00","4.00","6.00","2.25","2.20","Normal","","37.4"
"(RB 01)","","","","","","","","","","",""
"","Gurugoda Oya","Holombuwa","m","3.00","3.40","5.00","1.19","1.23","Normal","","28.6"
"","Seethawaka Ganga","Deraniyagala","m","4.80","5.80","6.40","2.20","2.23","Normal","","50.7"
"","Kehelgamu Oya","Norwood","m","1.50","3.00","4.50","0.86","0.88","Normal","","11.7"
"","Kalu Ganga","Putupaula","m","3.00","4.00","5.00","2.25","2.26","Normal","","4.4"
"","Kalu Ganga","Ellagawa","m","10.00","10.70","12.20","8.38","8.35","Normal","","31.1"
"Kalu Ganga","","","","","","","","","","",""
"","Kalu Ganga","Rathnapura","m","5.20","7.50","9.50","4.75","4.69","Normal","","10.3"
"(RB 03)","","","","","","","","","","",""
"","Maguru Ganga","Magura","m","4.00","6.00","7.50","3.76","NA","NA","","0.0"
"","Kuda Ganga","Kalawellawa (Millakanda)","m","5.00","6.50","8.00","5.68","5.68","Alert","","12.5"
"","Gin Ganga","Baddegama","m","3.50","4.00","5.00","NA","NA","NA","","0.0"
"Gin Ganga","","","","","","","","","","",""
"(RB 09)","","","","","","","","","","",""
"","Gin Ganga","Thawalama","m","4.00","6.00","7.50","2.59","2.55","Normal","","0.0"
"","Nilwala Ganga","Thalgahagoda","m","1.40","1.70","2.80","1.20","1.20","Normal","","8.5"
"","Nilwala Ganga","Panadugama","m","5.00","6.00","7.50","4.84","4.82","Normal","","11.4"
"Nilwala Ganga","","","","","","","","","","",""
"(RB 12)","","","","","","","","","","",""
"","Nilwala Ganga","Pitabeddara","m","4.00","5.00","6.50","1.57","1.56","Normal","","3.8"
"","Urubokka Ganga","Urawa","m","2.50","4.00","6.00","0.71","0.69","Normal","","5.2"
"","Maha Oya","Badalgama","m","5.00","6.20","9.60","2.13","2.15","Normal","","19.6"
"Maha Oya","","","","","","","","","","",""
"(RB 102)","","","","","","","","","","",""
"","Maha Oya","Giriulla","m","5.50","6.50","7.50","1.26","1.28","Normal","","47.1"
"Attanagalu Oya","","","","","","","","","","",""
"","Attanagalu Oya","Dunamale","m","3.30","4.40","5.50","1.16","1.18","Normal","","17.4"
"(RB 103)","","","","","","","","","","",""
