"","Weather Forecast for Main Cities","","","","9-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","27","90","40","Mainly fair"
"Batticaloa","34","26","90","65","Mainly fair"
"Colombo","34","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","27","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","26","80","50","Mainly fair"
"Kandy","34","23","90","50","Mainly fair"
"Nuwara-Eliya","25","11","85","40","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","37","25","95","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","36","26","95","60","Mainly fair"
"Mannar","34","27","85","65","Showers or thundershowers are likely after 2.00p.m"
