"","2","","2020.08.02","","","","","","","","","","","","",""
"","","fz;b     Kandy
Delthota","High Wind","1","1","","","","","1","","","","","",""
"","","Medadumbara","High Wind","1","5","","","","","1","","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","4","14","0","","0","0","0
4","","0","0","0","0","0"
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","","18","67","0","","0","0","0
17","","0","0","3","14","49"
"","","ක ොළඹ","","","","","","","","","","","","","",""
"","3","Moratuwa
nfhOk;G","Wall collapse
2020.08.02","2","9","","","3","","2","","","","","",""
"","","Colombo","","","","","","","","","","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","2","9","0","","3","0","0
2","","0","0","0","0","0"
"Western","","","","","","","","","","","","","","","",""
"Nky; khfhzk","","ළුතර","","","","","","","","","","","","","",""
"බස්නොහිර පලොත","4","Panadura
fSj;Jiw","High Wind
2020.08.01","47","","","","","","2","","","","","",""
"","","Kalutara","","","","","","","","","","","","","",""
"","","","","47","0","0","","0","0","0
2","","0","0","0","0","0"
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","","49","9","0","","3","0","0
4","","0","0","0","0","0"
"","","Karainagar
යොපනය","Drowning
2020.07.23","1","1","","","","1","","","","","","",""
"","5","Maruthankerny
aho;g;ghzk;","Drowning
2020.07.30","1","3","","","","1","","","","","","",""
"උතුරු පලොත      tl","","Jaffna","","","","","","","","","","","","","",""
"","","Chavakachcheri","High wind
2020.08.03","1","3","","","","","1","","","","","",""
"khfhzk; Northen","","","","","","","","","","","","","","","",""
"","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","3","7","0","","0","2","1
0","","0","0","0","0","0"
"","පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","","3","7","0","","0","2","1
0","","0","0","0","0","0"
"","","හම්බනකතොට 
Katuwana","High Wind
2020.08.03","2","7","","","","","2","","","","","",""
"","6","`k;ghe;Njhl;ilH","","","","","","","","","","","","","",""
"දකුනු පලොත    njd;","","","","","","","","","","","","","","","",""
"","","Beliaththa
ambantota","Tree fallen
2020.08.02","3","13","","","","","3","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","",""
"Southern","දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","5","20","0","","0","0","0
5","","0","0","0","0","0"
