"","Weather Forecast for Main Cities","","","","2024-07-16"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","90","60","Mainly fair"
"Batticaloa","36","27","80","50","Mainly fair"
"Colombo","31","25","95","75","Showers at times"
"Galle","30","25","95","80","Showers at times"
"Jaffna","32","28","80","70","A few showers"
"Kandy","29","25","90","70","Showers at times"
"Nuwara-Eliya","18","15","95","80","Showers at times"
"Ratnapura","31","24","95","75","Showers at times"
"Trincomalee","36","28","80","50","Mainly fair"
"Mannar","31","28","85","75","Mainly fair"
