"","Weather Forecast for Main Cities","","","","2024-07-23"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","50","Mainly fair"
"Batticaloa","38","27","80","40","Mainly fair"
"Colombo","30","26","90","65","Several spells of showers"
"Galle","30","26","95","75","A few showers"
"Jaffna","33","27","80","65","Mainly fair"
"Kandy","30","21","95","55","A few showers"
"Nuwara-Eliya","20","14","85","60","A few showers"
"Ratnapura","31","23","95","50","Several spells of showers"
"Trincomalee","37","27","80","45","Mainly fair"
"Mannar","32","27","85","75","Mainly fair"
