"","Weather Forecast for Main Cities","","","","18-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","60","Mainly fair"
"Batticaloa","30","26","80","70","A few showers"
"Colombo","33","25","80","60","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","25","85","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","31","24","85","65","Mainly fair"
"Kandy","30","21","90","70","Mainly fair"
"Nuwara-Eliya","18","13","95","80","Mainly fair"
"Ratnapura","32","22","90","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","31","26","80","65","A few showers"
"Mannar","31","26","80","60","Mainly fair"
