"","Weather Forecast for Main Cities","","","Date :","2024-09-28"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","26","90","50","Showers or thundershowers after 2.00p.m"
"Batticaloa","33","26","80","70","Showers or thundershowers after 2.00p.m"
"Colombo","32","27","80","65","Showers or thundershowers after 2.00p.m"
"Galle","30","26","85","75","Showers or thundershowers"
"Jaffna","34","26","90","60","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","22","90","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","20","13","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","35","25","90","50","Showers or thundershowers after 2.00p.m"
"Mannar","32","26","90","75","Showers or thundershowers after 2.00p.m"
