"","The forecast track and intensity of the system are given in the following table","",""
"Date/Time","Position","Maximum wind speed (Kmph)","Category of cyclonic"
"(SLST) (Hrs)","(Lat. oN/ Long. oE)","","disturbance"
"26.05.24/0530","19.5/89.3","85-95 gusting up to 135","Severe cyclonic Storm"
"26.05.24/1730","20.9/89.2","110-120 gusting up to 135","Severe cyclonic Storm"
"26.05.24/2330","21.8/89.3","110-120 gusting up to 135","Severe cyclonic Storm"
"27.05.24/0530","22.7/89.65","70-80 gusting up to 90","Cyclonic Storm"
