"","","","","Families","People","","People","People","","ன
 Partially","்  சேதங் கள்","Damages to","f   No.","s; 
Persons",""
"District","Division","","","","","","","","Fully","","Small, Medium,","","","",""
"","","","","","","","","","","","","critical","of Safety","Families",""
"","","","","","","","","","","","Enterprises","Infrastructure","Locations","",""
"","","","","","","","","","","","Damages","","","",""
"","ගම්පහ       fk;g`h","","","","","","","","","","","","","",""
"1","Diwulapitiya","Drought","2024.02.26","2351","7053","","","","","","","","","",""
"Western  Nky; 
Gampaha","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","",""
"බස්නාහිර පලාත","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","2351","7053","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","2351","7053","0","0","0","0","0","0","0","0","0","0"
"","Warakapola","Drought","2024.03.11","56","271","","","","","","","","","",""
"","Ruwanwella","Drought","2024.03.11","110","550","","","","","","","","","",""
"","Yatiyanthota","Drought","2024.03.14","80","289","","","","","","","","","",""
"","කෑගල්ල Nffhiy","","","","","","","","","","","","","","Drinking water is"
"3","","","","","","","","","","","","","","",""
"සබරගමුෙ පලාත","","","","","","","","","","","","","","","distributing"
"","Kegalle","","","","","","","","","","","","","",""
"","Dareniyagala","Drought","2024.03.17","95","394","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","",""
"Sabaragamuwa","Dehiovita","Drought","2024.03.19","160","672","","","","","","","","","",""
"","Galigamuwa","Drought","2024.03.18/19","175","637","","","","","","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","676","2813","0","0","0","0","0","0","0","0","0","0"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","676","2813","0","0","0","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","","","3027","9866","0","0","0","0","0","0","0","0","0","0"
