"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","","දිනය :     2024-02-08"
"","","උෂ්ණත්වය(සස. අංශක)","","සාසේක්ෂ ආර්ද්‍රතාවය(%)",""
"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","32","21","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","29","23","90","75","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","31","23","90","70","ප්‍රධාන වශයයන් වැසි රහිත"
"ගාල්ල","30","23","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"යාපනය","31","24","90","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","31","18","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"නුවරඑළිය","21","12","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"රත්නපුරය","33","22","95","65","ප්‍රධාන වශයයන් වැසි රහිත"
"ත්‍රිකුණාමලය","31","25","80","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මන්නාරම","32","24","80","60","ප්‍රධාන වශයයන් වැසි රහිත"
