"","Weather Forecast for Main Cities","","","","17-Jun-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","65","Mainly fair"
"Batticaloa","32","26","90","60","Mainly fair"
"Colombo","31","26","90","70","A few showers"
"Galle","29","27","90","80","Several spells of light showers"
"Jaffna","32","28","85","75","Mainly fair"
"Kandy","30","22","90","70","Mainly fair"
"Nuwara-Eliya","22","16","90","75","A few showers"
"Ratnapura","33","24","95","75","Several spells of light showers"
"Trincomalee","35","26","85","60","Mainly fair"
"Mannar","31","27","85","75","Mainly fair"
