"","Weather Forecast for Main Cities","","","","3-July-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","26","90","65","Mainly fair"
"Batticaloa","33","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","26","95","75","Showers at times"
"Galle","30","26","90","80","Showers at times"
"Jaffna","32","28","90","75","Mainly fair"
"Kandy","29","23","95","75","Several spells of showers"
"Nuwara-Eliya","20","15","95","80","Several spells of showers"
"Ratnapura","31","23","95","80","Showers at times"
"Trincomalee","35","26","90","60","Mainly fair"
"Mannar","31","28","90","80","Mainly fair"
