"","Weather Forecast for Main Cities","","","","31-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","90","40","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","26","90","70","A few showers"
"Colombo","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","33","26","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","33","24","95","70","Showers or thundershowers are likely after 2.00p.m"
"Kandy","33","19","90","50","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","24","14","85","55","Showers or thundershowers after 2.00p.m"
"Ratnapura","33","27","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","24","95","55","A few showers"
"Mannar","34","25","90","60","Showers or thundershowers are likely after 2.00p.m"
