"","Weather Forecast for Main Cities","","","Date :","4-Feb-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","90","65","Mainly fair"
"Batticaloa","30","25","90","75","Mainly fair"
"Colombo","33","24","80","50","Mainly fair"
"Galle","30","25","90","70","Mainly fair"
"Jaffna","31","21","85","65","Mainly fair"
"Kandy","30","19","90","50","Mainly fair"
"Nuwara-Eliya","20","12","75","40","Mainly fair"
"Ratnapura","36","22","90","50","Mainly fair"
"Trincomalee","30","24","90","75","Mainly fair"
"Mannar","30","24","90","65","Mainly fair"
