"මධ්‍යම පලාත","","","","","","","","","","","","","",""
"kj;jpa khfhzk;","","","","","","","","","","","","","",""
"Central","","","","","","","","","","","","","",""
"","","Ambagamuwa
High Wind","23","97","","","","","23","","","","",""
"","","Wall Fallen","2019.04.24
2","3","","","","","2","","","","",""
"","","","1","3","","","","","1","","","","",""
"","","Hanguranketha
Tree Fallen","","","","","","","","","","","",""
"","නුවරඑලිය","","2019.04.30
1","1","","","","","1","","","","",""
"12","Etnuypah","High Wind","2019.04.29
2","7","","","","","2","","","","",""
"","Nuwara Eliya","","1","2","","","","","1","","","","",""
"","","","2019.04.24","","","","","","","","","","",""
"","","Kothmale","1","3","","","","","1","","","","",""
"","","Tree Fallen","","","","","","","","","","","",""
"","","","2019.04.28
1","5","","","","","1","","","","",""
"","","Walapane","2019.05.01
1","4","","","","","1","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","33","125","0","0","0","0","33","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","8456","30760","0","0","0","0","65","0","0","0","0","0"
"","","Devinuwara","965","3977","","","","","","","","","",""
"","","Dikwella","97","328","","","","","","","","","",""
"","මාතර","","","","","","","","","","","","",""
"13","khj;jiw","Drought
Kirinda Puhulwella","2019.03.01
799","2953","","","","","","","","","",""
"","Matara","","","","","","","","","","","","",""
"","","Matara","151","664","","","","","","","","","",""
"","","Hakmana","306","977","","","","","","","","","",""
"","දිසරික් එකතුව    khtl;l $l;Lj;njhif  District Total","","2318","8899","0","0","0","0","0","0","0","0","0","0"
"","","Hambantota","380","1490","","","","","","","","","",""
"","","Tissamaharama","1587","7045","","","","","","","","","",""
"","","Drought
Okewela","2019.04.08
82","369","","","","","","","","","",""
"","","Beliatta","50","192","","","","","","","","","",""
"","හම්බන්නතාට","","","","","","","","","","","","",""
"","","","50","220","","","","","","","","","",""
"14","`k;ghe;Njhl;I","Weeraketiya","","","","","","","","","","","",""
"","","","2019.04.22,23,24
4","17","","","","","4","","","","",""
"","Hambantota","","","","","","","","","","","","",""
"","","Angunukolapalessa","2019.04.24
6","12","","3","","","3","","","","",""
"","","High Wind","","","","","","","","","","","",""
"","","Katuwana","2019.04.24
2","7","","","","","2","","","","",""
"","","Thangalla","2019.04.28
2","6","","","","1","1","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","",""
"","","Ambalanthota
Lightning","2019.04.23
1","3","1","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","",""
"","දිසරික් එකතුව    khtl;l $l;Lj;njhif  District Total","","2164","9361","1","3","0","1","10","0","0","0","0","0"
"Southern","","","","","","","","","","","","","",""
"","","Habaraduwa","2019.04.30
2","7","","","","","2","","","","",""
"","","High Wind","","","","","","","","","","","",""
"","","Niyagama","2019.04.30
4","22","","","","","4","","","","",""
"","","Benthota
Drought","1075","3875","","","","","","","","","",""
"","","","2019.04.09","","","","","","","","","","",""
"","","Gonapeenuwala","1022","3452","","","","","","","","","",""
"","","High Wind","2019.04.29
1","3","","","","","1","","","","",""
"","","Welivitiya Divithura","","","","","","","","","","","",""
"","","","1100","3043","","","","","","","","","",""
"","ගාල්ල","","","","","","","","","","","","",""
"15","fhyp","Drought
Imaduwa","2019.04.09
220","895","","","","","","","","","",""
"","Galle","","","","","","","","","","","","",""
"","","Balapitiya","540","2556","","","","","","","","","",""
"","","Lightning","2019.04.29
2","8","","","","","2","","","","",""
"","","Baddegama","","","","","","","","","","","",""
"","","","1180","4467","","","","","","","","","",""
"","","","2019.04.09","","","","","","","","","","",""
"","","Drought
Ambalangoda","745","2760","","","","","","","","","",""
"","","Elpitiya","2019.04.11
115","434","","","","","","","","","",""
"","","Ginthota East
Lighting","2019.05.03
1","7","","","","","","","","","",""
"","දිසරික් එකතුව    khtl;l $l;Lj;njhif  District Total","","6007","21529","0","0","0","0","9","0","0","0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","10489","39789","1","3","0","1","19","0","0","0","0","0"
"","","Drought","2019.03.14
7387","25288","","","","","","","","","",""
"","","Divulapitaiya","","","","","","","","","","","",""
"","","Heavy Rain &","","","","","","","","","","","",""
"","","","2019.04.17
41","146","","1","","2","39","","","","",""
"","ගම්පහ","High Wind","","","","","","","","","","","",""
"16","fk;g`h","","","","","","","","","","","","",""
"","","Katana","2019.04.08
2400","9500","","","","","","","","","",""
"","Gampaha","","","","","","","","","","","","",""
"","","Drought
Mahara","2019.04.09
324","923","","","","","","","","","",""
"","","Gampaha","2019.04.09
367","1460","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","10519","37317","0","1","0","2","39","0","0","0","0","0"
"","","Millaniya","174","730","","","","","","","","","",""
"","","Salt water","","","","","","","","","","","",""
"","","Horana","2019.03.28
185","820","","","","","","","","","",""
"Western","","instrusion","","","","","","","","","","","",""
"Nky; khfhzk","කළුතර","Dodangoda","4545","13664","","","","","","","","","",""
"බසරනාහිර පලාත
17","fSj;Jiw","Buluvita North","3","8","","","","","","","","","",""
"","","High Wind","","","","","","","","","","","",""
"","Kalutara","","2019.04.23","","","","","","","","","","",""
"","","","21","88","","","","","21","","","","",""
"","","Walallavita","","","","","","","","","","","",""
"","","Lightning","3","12","","","","","3","","","","",""
"","","Palindanuwara
High Wind","2019.05.03
8","27","","","","","8","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","4939","15349","0","0","0","0","32","0","0","0","0","0"
