"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","35","25","90","55","ප්‍රධාන වශයයන් වැසි රහිත"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
"මඩකලපුව","35","27","80","45",""
"","","","","","ැක"
"යකාළඹ","32","27","90","70","විටින් විට වැසි"
"ගාල්ල","30","26","95","85","විටින් විට වැසි"
"යාපනය","34","26","85","65","ප්‍රධාන වශයයන් වැසි රහිත"
"ම නුවර","29","23","95","70","විටින් විට වැසි"
"නුවරඑළිය","19","15","95","75","විටින් විට වැසි"
"රත්නපුරය","33","24","95","75","විටින් විට වැසි"
"","","","","","සවස 2.00න් පසුව වැසි ය ෝ ගිගුරුම් සහිත වැසි ඇති  විය"
