"","Weather Forecast for Main Cities","","","","2024-08-03"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","55","Mainly fair"
"Batticaloa","35","27","80","45","Showers or thundershowers are likely after 2. 00p.m"
"Colombo","32","27","90","70","Showers at times"
"Galle","30","26","95","85","Showers at times"
"Jaffna","34","26","85","65","Mainly fair"
"Kandy","29","23","95","70","Showers at times"
"Nuwara-Eliya","19","15","95","75","Showers at times"
"Ratnapura","33","24","95","75","Showers at times"
"Trincomalee","36","27","80","45","Showers or thundershowers are likely after 2. 00p.m"
"Mannar","32","28","85","70","Mainly fair"
