"","","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","4","18","0","1","","0","0","4","0","0","1","1","5",""
"","","ක ොළඹ","","","","","","","","","","","","","","",""
"","3","Colombo
nfhOk;G","Fire
2021.03.15","27","142","","","","","","27","","","1","27","","142 *Kalani Nadee Tempale"
"බස්ත්‍රනොහිර පලොත","","","","","","","","","","","","","","","","","*Modara Community Hall"
"","","Colombo","","","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","","",""
"","Nky; khfhzk දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","","27","142","0","0","","0","0","27","0","0","1","27","142",""
"","","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","27","142","0","0","","0","0","27","0","0","1","27","142",""
"","","මන්නොරම","","","","","","","","","","","","","","",""
"","4","Emilnagar
kd;dhH","Fire
2021.03.22","1","8","","","","","1","","","","","","",""
"උතුරු පලොත","","","","","","","","","","","","","","","","",""
"","","Mannar","","","","","","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","","","","","","",""
"Northen","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","1","8","0","0","","0","1","0","0","0","0","0","0",""
"","","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","1","8","0","0","","0","1","0","0","0","0","0","0",""
"","","හම්බන්කතොට","","","","","","","","","","","","","","",""
"දකුනු පලොත","5","Katuwana
`k;ghe;Njhl;il","Lightning
2021.03.20","2","8","","","","","","2","","","","","",""
"njd;","","Hambantota","","","","","","","","","","","","","","",""
"khfhzk;","","","","","","","","","","","","","","","","",""
"","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","2","8","0","0","","0","0","2","0","0","0","0","0",""
"Southern","","","","","","","","","","","","","","","","",""
"","","පළොත් ඵ තුව khfhz $l;Lj;njhif  Province Total","","2","8","0","0","","0","0","2","0","0","0","0","0",""
"","","Nivithigala","Lightning& Heavy Rain 2021.03.18","4","18","","","","","","2","2","","","","",""
"","","","","","","","","","","","","","","","","","Official residence of the"
"","","","Heavy Rain / High","","","","","","","","","","","","","",""
"","","Balangoda","2021.03.22","29","106","","","","","1","24","","","1","3","19","Municipal Secretary"
"","","","Wind & Landslide Risk","","","","","","","","","","","","","","Balangoda"
"","","Eheliyagoda","Tree Fallen
2021.03.22","2","8","","","","","","2","","","","","",""
"","","රත්නපුර","","","","","","","","","","","","","","",""
"","","Opanayaka","Heavy Rain& Lightning 2021.03.22","1","4","","","","","","1","","","","","",""
"","6",",uj;jpdGhp","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලොත","","","","","","","","","","","","","","","","",""
"rg;ufKt","","Rathnapura","","","","","","","","","","","","","","",""
"","","Kahawaththa","High Wind
2021.03.22","1","6","","","","","","1","","","","","",""
"Sabaragamuw","","","","","","","","","","","","","","","","",""
"a","","Weligepola","Heavy Rain& Lightning 2021.03.22","3","10","","","","","","3","","","","","",""
"","","Godakawela","2021.03.21
Lightning","1","5","","","","","","1","","","","","",""
"","","Imbulpe","2021.03.22
High Wind","2","9","","","","","","2","","","","","",""
"","","දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total","","43","166","0","0","","0","1","36","2","0","1","3","19",""
