"","Weather Forecast for Main Cities","","","Date :","16-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","33","25","95","75","Showers or thundershowers after 2.00p.m"
"Colombo","31","29","80","70","Several spells of showers"
"Galle","30","28","95","80","Several spells of showers"
"Jaffna","35","28","90","60","A few showers"
"Kandy","30","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","14","90","65","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","34","25","95","85","Several spells of showers"
"Trincomalee","35","25","95","60","Showers or thundershowers are likely after 2.00p.m"
"Mannar","33","28","95","75","A few showers"
