"","Weather Forecast for Main Cities","","","Date :","7-Aug-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","55","Mainly fair"
"Batticaloa","32","25","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","29","26","85","75","A few showers"
"Galle","29","26","90","75","A few showers"
"Jaffna","34","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Kandy","31","22","90","65","Several spells of showers"
"Nuwara-Eliya","19","14","95","75","Several spells of showers"
"Ratnapura","31","23","95","70","Several spells of showers"
"Trincomalee","33","25","85","55","Mainly fair"
"Mannar","32","26","90","70","Mainly fair"
