"","Weather Forecast for Main Cities","","","","25-Mar-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","50","Mainly fair"
"Batticaloa","31","26","90","75","Several spells of showers"
"Colombo","33","26","85","70","Mainly fair"
"Galle","32","25","90","70","Showers or thundershowers after 2.00p.m"
"Jaffna","34","24","80","55","Mainly fair"
"Kandy","34","21","95","50","Mainly fair"
"Nuwara-Eliya","23","12","95","55","Mainly fair"
"Ratnapura","36","24","95","50","Showers or thundershowers are likely after 4.00p.m"
"Trincomalee","33","26","85","70","A few showers"
"Mannar","33","26","90","60","Mainly fair"
