"","khtl;lk ;","","","","FLk;gq;f","egHfs;","Injured","Missin","","","","","","","","FLk;gq;","egHfs;"
"","","nra.gp    DS Division","","","","","","","KOik","sT","","Kaw;rpfs;","","fl;likg;Gf;fs;","if","",""
"","District","","","","s;","People","People","g","","","","","","","","fs;","Persons"
"","","","","","","","","","","Partiall","","Small, Medium,","","Damages to","Safety","",""
"","","","","","","","","","Fully","","","","","","","",""
"","","","","","Families","","","People","","","","","","","","Families",""
"","","","","","","","","","","y","","Enterprises","","critical","Location","",""
"","","","","","","","","","","","","Damages","","Infastructure","","",""
"","","","","","","","","","","","","","","","s","",""
"","මඩකලපුව","Manmunnai west","Fire / High wind","2018.10.26","2","7","","","1","","1","","","","","",""
"නැගෙනහිර","1","","","","","","","","","","","","","","","",""
"","kl;lf;fsg;G","Koralaipattu South","Lightning","2018.10.25","1","4","","","","","","","","","","",""
"පලාත","","","","","","","","","","","","","","","","",""
"","Batticaloa","","","","","","","","","","","","","","","",""
"","","Eravur Pattu","Lightning","2018.10.20","3","11","2","","","","","","","","","",""
"fpof;F","","","","","","","","","","","","","","","","",""
"Eastern","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","6","22","0
2","0","1","","1","","0","","0
0","0","0"
"","පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total","","","","6","22","0
2","0","1","","1","","0","","0
0","0","0"
"","","Nuwara Eliya","Landslide","2018.10.22","7","14","","","","","7","","","","","",""
"","","Ambagamuwa","Cutting Failure","2018.10.21","1","4","","","","","","","","","","",""
"","නුවරඑලිය","","","","","","","","","","","","","","","",""
"","2
Etnuypah","","","2018.10.21","6","23","","","","","4","","","","1","1","5 Delpathkada community"
"","","Hanguranketha","Cutting Failure","","","","","","","","","","","","","","Hall"
"","Nuwara Eliya","","","2018.10.24","1","6","","","","","","","","","","",""
"","","Walapane","Cutting Failure","2018.10.24-29","13","48","","","","","4","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","28","95","0
0","0","0","","15","","0","","0
1","1","5"
"","මාතගේ","Dambulla","High Wind","2018.10.23","3","9","","","","","1","","","","","",""
"","3
khj;jis","","","","","","","","","","","","","","","",""
"","Matale","Naula","Heavy Rain","2018.10.24-27","6","23","","","","","6","","","","","",""
"","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","","9","32","0
0","0","0","","7","","0","","0
0","0","0"
"","","Delthota","Cutting failure/","2018.10.20-28","16","69","","","1","","5","","1","","","",""
"","","Kundasale","Flash Flood/","2018.10.16-22","5","24","","","","","4","","2","","","",""
"","","Pasbage Korale","Landslide Risk","2018.10.16-20","4","19","","","","","2","","3","","","",""
"","","Gangawatakorale","Cutting Failure","2018.10.21-24","14","49","","","","","13","","","","1","1","6 Uda Peradeniya"
"","","","","","","","","","","","","","","","","","Ananda College"
"","","Poojapitiya","Rock Fallen","2018.10.20-22","2","9","","","","","2","","","","","",""
"මධ්‍යම","","","","","","","","","","","","","","","","",""
"පලාත/kj;jpa","","Panvila","Landslide Risk","2018.10.21","36","125","","","1","","","","","","","",""
"khfhzk;/","","","","","","","","","","","","","","","","",""
"Central","","Medadumbara","Heavy Rain","2018.10.17-25","26","108","","","","","24","","1","","","",""
"","","Pathahewanheta","Cutting Failure","2018.10.20","1","7","","","","","1","","","","","",""
"","මහනුවර","","Cutting failure/","","","","","","","","","","","","","",""
"","fz;b      
4","","","","","","","","","","","","","","","",""
"","","Harispaththuwa","Tree Fallen /","2018.10.20/21","3","13","","","","","3","","","","","",""
"","Kandy","","","","","","","","","","","","","","","",""
"","","","Landslide Risk","","","","","","","","","","","","","",""
"","","Doluwa","Heavy Rain","2018.10.20","1","5","","","","","1","","","","","",""
"","","Pathadumbara","Cutting Failure","2018.10.20/21","6","26","","","","","6","","","","","",""
"","","Minipe","Cutting Failure","2018.10.16-23","6","28","","","1","","4","","1","","1","1","8 Hasalaka Ududana"
"","","","","","","","","","","","","","","","","","Pirivena"
"","","Udapalatha","Cutting Failure","2018.10.19","7","26","","","","","6","","1","","","",""
"","","Ududumbara","Lightning","2018.10.24","1","2","","","","","1","","1","","","",""
"","","Udunuwara","Tree Fallen","2018.10.26","1","5","3","","","","1","","","","","",""
"","","Hatharaliyadda","Tree Fallen","2018.10.24","3","10","","","","","2","","1","","","",""
"","","Akurana","Cutting Failure","2018.10.23","5","20","","","","","5","","","","","",""
"","","Ganga Ihala Korale","Cutting Failure","2018.10.29","","","","","","","","","1","","","",""
"","","දිස්ත්‍රික් එකතුව    khtl;l $l;Lj;njhif  District Total","","","137","545","0
3","0","3","","80","","12","","0
2","2","14"
