"DS","","FLk;gq;fs;","","","People","People","KOik","","","","","","","","","",""
"","","","People","","","","","","சேதங்கள்; Small,","","Damages to","","f   No.","s;","","Persons",""
"District","","Families","","","","","Fully","Partially","","","","","","","","",""
"Division","d","","","","","","","","Medium,","","critical","","of Safety","Families","","",""
"","","","","","","","","","Enterprises","","Infrastructure","","Locations","","","",""
"","","","","","","","","","Damages","","","","","","","",""
"ක ොළඹ","","","","","","","","","","","","","","","","",""
"Colombo
Fire
nfhOk;G 
1","2021.03.15","27","142","","","","","27","","","","","1","","27","","142 *Kalani Nadee Tempale"
"","","","","","","","","","","","","","","","","","*Modara Community Hall"
"Colombo
බස්නොහිර පලොත","","","","","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","","",""
"","","27","142","0","0","0","0","27","","0","","0","1","","27","142",""
"Nky; khfhzk දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","","","","","","","","","","","","","","","",""
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","27","142","0","0","0","0","27","","0","","0","1","","27","142",""
"රත්නපුර","","","","","","","","","","","","","","","","","Official residence of the"
"Heavy Rain / High","","","","","","","","","","","","","","","","",""
"2
Balangoda
,uj;jpdGhp","2021.03.22","40","150","","","","1","35","","1","","","1","","3","19","Municipal Secretary"
"සබරගමුෙ පලොත","Wind & Landslide Risk","","","","","","","","","","","","","","","","Balangoda"
"Rathnapura","","","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","",""
"Sabaragamuw","","","","","","","","","","","","","","","","",""
"දිස්ික් එ තුෙ khtl;l $l;Lj;njhif District Total","","40","150","0","0","0","1","35","","1","","0","1","","3","19",""
"a","","","","","","","","","","","","","","","","",""
"පළොත් ඵ තුෙ khfhz $l;Lj;njhif  Province Total","","40","150","0","0","0","1","35","","1","","0","1","","3","19",""
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","67","292","0","0","0","1","62","","1","","0","2","","30","161",""
"","","","","රොජ ොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","","","","","",""
