"","Weather Forecast for Main Cities","","","","4-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","60","Showers or thundershowers after 2.00p.m"
"Batticaloa","31","24","90","75","Showers or thundershowers after 2.00p.m"
"Colombo","30","23","90","70","Showers or thundershowers"
"Galle","29","24","95","80","Showers or thundershowers"
"Jaffna","33","24","95","70","Several spells of showers"
"Kandy","30","21","95","65","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","11","95","80","Showers or thundershowers after 2.00p.m"
"Ratnapura","32","22","95","70","Showers or thundershowers"
"Trincomalee","32","23","95","70","Showers or thundershowers"
"Mannar","32","23","95","70","Showers or thundershowers after 2.00p.m"
