"","","","","","","","Injured","Missing","","","நிறுவனங்களின்","","","","","",""
"","மாவட்டம்","","","","egHfs;","","","","","","","","fl;likg;Gf;fs;","","vz;zpf;i","FLk;gq;f","egHfs;"
"","","","commenced","FLk;gq;fs;","","","","","KOik","T","","","","","","",""
"","","DS","","","People","","People","People","","","சேதங்கள்; Small,","","Damages to","","f   No.","s;","Persons"
"","District","","","Families","","","","","Fully","Partially","","","","","","",""
"","","Division","","","","","","","","","Medium,","","critical","","of Safety","Families",""
"","","","","","","","","","","","Enterprises","","Infrastructure","","Locations","",""
"","","","","","","","","","","","Damages","","","","","",""
"","යාපනය","Delf","2021.03.21","1113","3341","","","","","","","","","","","",""
"","1
aho;g;ghzk;","Drought","","","","","","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","","","","","","",""
"","Jaffna","Karainagar","2021.05.20","2514","7974","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","",""
"Northen","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","3627","11315","0","0","0","0","0","","0","","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","3627","11315","0","0","0","0","0","","0","","0","0","0","0"
"","මඩකලපුෙ","Porathivupattu","2021.05.03","1320","3602","","","","","","","","","","","",""
"","2
kl;lf;fsg;G","Drought","","","","","","","","","","","","","","",""
"නැවගනහිර","","","","","","","","","","","","","","","","",""
"","Batticaloa","Manmunai West","2021.05.10","2717","9930","","","","","","","","","","","",""
"පලාත  fpof;F","","","","","","","","","","","","","","","","",""
"Eastern","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","4037","13532","0","0","0","0","0","","0","","0","0","0","0"
"","","පළාත් ඵකතුෙ khfhz $l;Lj;njhif  Province Total","","4037","13532","0","0","0","0","0","","0","","0","0","0","0"
"","ගාල්ල","","","","","","","","","","","","","","","",""
