"","Weather Forecast for Main Cities","","","Date :","16-Sep-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","55","A few showers"
"Batticaloa","32","27","85","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","32","27","85","65","Several spells of showers"
"Galle","29","27","90","75","Several spells of showers"
"Jaffna","32","27","85","70","A few showers"
"Kandy","29","22","90","65","Several spells of light showers"
"Nuwara-Eliya","19","15","95","70","Several spells of light showers"
"Ratnapura","35","25","95","60","Several spells of showers"
"Trincomalee","35","24","80","50","A few showers"
"Mannar","31","28","80","65","A few showers"
