"Eastern","Ampara","Heavy Rain","2025.01.14","44","135","","","","",""
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","49","158","0","0","0","0","5"
"","පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total","","","49","158","0","0","0","0","5"
"","Uva Paranagama","Landslide Risk","2025.01.14","1","4","","","","",""
"","Kandaketiya","Cutting Faliure","2025.01.13","2","5","","","","","1"
"","Welimada","Heavy Rain","2025.01.13-14","3","12","","","","","3"
"","බදුල්ල","","","","","","","","",""
"2","gJs;is   
Hali Ela","Heavy Rain","2025.01.13","1","4","","","","","1"
"ඌෙ","","","","","","","","","",""
"","Badulla","","","","","","","","",""
"Cth khfhzk;","Lunugala","Tree Fallen/ Rain","2025.01.12","3","8","","","","","3"
"Uva","","","","","","","","","",""
"","Rideemaliyadda","Tree Fallen","2025.01.13","1","5","","","","","1"
"","Mahiyanganaya","Tree Fallen/ Rain","2025.01.13","1","4","","","","","1"
"","දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total","","","12","42","0","0","0","0","10"
