"","Weather Forecast for Main Cities","","","","25-Oct-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","95","60","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","31","25","95","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","25","95","70","Showers or thundershowers at times"
"Galle","30","25","95","80","Showers or thundershowers at times"
"Jaffna","30","24","95","75","Showers or thundershowers at times"
"Kandy","29","20","95","80","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","13","95","75","A few showers"
"Ratnapura","33","23","95","65","Showers at times"
"Trincomalee","33","24","95","70","Showers or thundershowers after 2.00p.m"
"Mannar","30","24","95","75","Showers or thundershowers at times"
