"","Weather Forecast for Main Cities","","","Date :","5-Oct-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","55","Showers or thundershowers after 2.00p.m"
"Batticaloa","32","25","90","70","Showers or thundershowers after 2.00p.m"
"Colombo","30","26","95","70","Showers or thundershowers"
"Galle","30","26","95","75","Showers or thundershowers"
"Jaffna","32","25","95","70","Showers or thundershowers"
"Kandy","29","20","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","22","12","95","60","Showers or thundershowers after 2.00p.m"
"Ratnapura","32","24","95","60","Showers or thundershowers"
"Trincomalee","34","25","90","50","Showers or thundershowers after 2.00p.m"
"Mannar","33","26","95","70","Showers or thundershowers"
