"","Weather Forecast for Main Cities","","","Date :","27-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","25","95","55","Mainly fair"
"Batticaloa","32","26","95","75","A few showers"
"Colombo","32","25","90","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","31","25","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","34","23","95","55","A few showers"
"Kandy","31","21","95","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","12","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","32","25","95","70","Mainly fair"
"Mannar","32","26","95","70","Mainly fair"
