"","Weather Forecast for Main Cities","","","Date :","2024-10-01"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","38","25","95","50","Showers or thundershowers after 2.00p.m"
"Batticaloa","35","24","95","70","Showers or thundershowers after 2.00p.m"
"Colombo","32","24","95","65","Showers or thundershowers after 2.00p.m"
"Galle","33","25","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","36","25","85","70","Showers or thundershowers after 2.00p.m"
"Kandy","32","21","95","60","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","15","95","70","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","25","90","70","Showers or thundershowers after 2.00p.m"
"Mannar","34","26","95","60","Showers or thundershowers are likely after 2.00p.m"
