"","","","","","",""
"","Locations for Potential Risk  
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ   fdjpahd mghaKs;s ,lq;fs;","","","","",""
"","","","","","",""
"","District","Level 1 (Yellow)","Level 2 (Amber)","","Level 3 (Red)",""
"","","","","","",""
"","Galle","Nagoda,","","","",""
"","","Elpitiya,","","","",""
"","","Baddegama and","","","",""
"","","Yakkalamulla","","","",""
"","","D
ivisional Secretariat","","","",""
"","","Division(s) (DSD) and","","","",""
"","","surrounding areas.","","","",""
"","","","","","",""
"","","","","","",""
"","Kalutara","Palindanuwara and 
Mathugama","","","",""
"","","","Walallawita","","",""
"","","D","D
ivisional Secretariat","","",""
"","","ivisional Secretariat","","","",""
"","","Division(s) (DSD) and","Division(s) (DSD) and","","",""
"","","","","","",""
"","","","surrounding areas.","","",""
"","","surrounding areas.","","","",""
"","","","","","",""
"","","","","","",""
"","Matara","Kotapola","","","",""
"","","","Welipitiya","","",""
"","","D
ivisional Secretariat","D
ivisional Secretariat","","",""
"","","Division(s) (DSD) and","Division(s) (DSD) and","","",""
"","","","","","",""
"","","surrounding areas.","surrounding areas.","","",""
"","","","","","",""
"","","","","","",""
"","Ratnapura","","","","",""
"","","Elapatha,","","","",""
"","","Kalawana and","","","",""
"","","Pelmadulla","","","",""
"","","D
ivisional Secretariat","","","",""
"","","Division(s) (DSD) and","","","",""
"","","surrounding areas.","","","",""
"","","","","","",""
"","Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.","","","","",""
"","*Newly added with the last update 
Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas","","","","",""
"","and given weather forecast by meteorological department of Sri Lanka","","","","",""
"","","","","","",""
