"","Weather Forecast for Main Cities","","","Date :","22-Jun-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","60","Mainly fair"
"Batticaloa","33","26","90","60","Mainly fair"
"Colombo","30","26","90","70","Several spells of showers"
"Galle","29","26","90","80","Several spells of showers"
"Jaffna","33","28","90","70","Mainly fair"
"Kandy","29","23","95","75","Several spells of showers"
"Nuwara-Eliya","19","15","95","80","Several spells of showers"
"Ratnapura","31","24","95","75","Several spells of showers"
"Trincomalee","35","26","85","55","Mainly fair"
"Mannar","32","28","90","75","Mainly fair"
