"","Weather Forecast for Main Cities","","","","18-Nov-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","95","65","Several spells of showers"
"Batticaloa","30","25","95","70","Several spells of showers"
"Colombo","32","24","95","65","Showers or thundershowers after 2.00p.m"
"Galle","32","24","95","75","Showers or thundershowers after 2.00p.m"
"Jaffna","32","24","95","80","Several spells of showers"
"Kandy","32","21","95","75","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","14","95","75","Showers or thundershowers after 2.00p.m"
"Ratnapura","34","23","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","25","95","75","Several spells of showers"
"Mannar","31","26","95","70","Several spells of showers"
