"","","දිස්ත්‍රික්කය","","","","","","","","","හානි",""
"","","","gpuNjr nra.gp     DS","","","FLk;gq;fs;","egHfs;","","People","People","","gFjpasT"
"","","மாவட்டம் District","","","","","","","","","KOik",""
"","","","","","","Families","People","","","","","Partially"
"","","","Division","","","","","","","","Fully",""
"","","","Ruwanwella","Lightning","2023.06.08","1","3","","1","","","1"
"","","කෑගල්ල","Kegalle","Tree Fallean","2023.06.08","1","2","","","","","1"
"","1","Nffhiy","","Lightning","2023.06.08","1","5","","","","","1"
"සබරගමුෙ පලාත","","","Warakapola","","","","","","","","",""
"","","Kegalle","","High Wind","2023.06.08","2","7","","","","","2"
"rg;ufKt","","","","","","","","","","","",""
"","","","Deraniyagala","Lightning","2023.06.08","5","19","","","","","5"
"Sabaragamuwa","","","","","","","","","","","",""
"","","දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total","","","","10","36","0","1","0","0","10"
