"නගරය","","","","","කාෙගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","31","25","95","60","සිහින් වැසි වාර කිහිපයක්"
"මඩකලපුව","33","27","85","65","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"ගකාළඹ","31","27","90","70","වැසි වාර කිහිපයක්"
"ොල්ල","30","26","95","85","වැසි වාර කිහිපයක්"
"යාපනය","31","24","95","65","වැසි වාර කිහිපයක්"
"මහනුවර","29","23","90","65","වැසි වාර කිහිපයක්"
"නුවරඑළිය","18","14","95","70","වැසි වාර කිහිපයක්"
"රත්නපුරය","31","24","95","70","වැසි වාර කිහිපයක්"
"ත්‍රිකුණාමලය","30","26","90","60","සවස 2.00න් පසුව වැසි ගහෝ ගිගුරුම් සහිත වැසි ඇති විය හැක"
"මන්නාරම","31","26","90","75","වැසි වාර කිහිපයක්"
