"","","","Neluwa","Heavy Rain / Flood","2023.09.29","4","13","","","","","4","","","","",""
"","","","Thawala","Heavy Rain / Flood","2023.10.03-08","8","36","","","","","8","","","","",""
"","","","","Heavy Rain / Flood","2023.10.02-08","15","42","","","","1","15","","","","",""
"","","","Elpitiya","","","","","","","","","","","","","",""
"","","","","Heavy Rain","2023.10.10","1","4","","","","","1","","","","",""
"","","","Madampagama","Heavy Rain / Flood","2023.10.03-08","9","48","","","","","6","","","","",""
"දකුනු පලාත","","","","","","","","","","","","","","","","",""
"","","","Rathgama","Heavy Rain / Flood","2023.10.03-08","2","6","","","","","2","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","",""
"Southern","","","Yakkalamulla","Heavy Rain / Flood","2023.10.03-08","25","60","","","","","10","","","1","7","25 Walpola Sri Sandun"
"","","","","","","","","","","","","","","","","","Viharaya"
"","","","","","","","","","","","","","","","","","Piyedigama"
"","","","","","","","","","","","","","","","","","Sudarshanaramayaa"
"","","","","","","","","","","","","","","","","","ගලක්"
"","","","","Heavy Rain/ Rock","","","","","","","","","","","","",""
"","","","Kadawathsathara","","2023.10.03-04-08","65","220","1","","","","25","","","1","65","කපරලීයාම කහරතුකවන් 
220"
"","","","","Fallen","","","","","","","","","","","","","වයස්ත්‍ අවු 70ක පිරිමි"
"","","","","","","","","","","","","","","","","","පුද්ගලකයකු මරණයට පත්"
"","","","","","","","","","","","","","","","","","විය"
"","","ගාල්ල","","","","","","","","","","","","","","",""
"","","","Imaduwa","Heavy Rain / Flood","2023.10.04-08","10","35","","","","","8","","","","",""
"","7","fhyp","","","","","","","","","","","","","","",""
"","","Galle","Welivitiya Divithura","Heavy Rain / Flood","2023.10.02-08","10","32","","","","2","8","","","","",""
"","","","Baddegama","Heavy Rain / Flood","2023.10.03-08","8","21","","","","","8","","","","",""
"","","","Habaraduwa","Heavy Rain / Flood","2023.10.03-08","31","93","","","","1","31","","","","",""
"","","","Nagoda","Heavy Rain / Flood","2023.10.01-08","28","72","","","","","28","10","","","",""
"","","","Benthota","Heavy Rain / Flood","2023.10.01-08","12","36","","","","","12","","","","",""
"","","","Balapitiya","Heavy Rain / Flood","2023.10.01-08","21","52","","","","","21","","","","",""
"","","","Bope Poddala","Heavy Rain / Flood","2023.10.01-08","18","21","","","","","18","","","","",""
"","","","Karandeniya","Heavy Rain / Flood","2023.10.01-08","15","48","","","","","15","","","","",""
"","","","Gonapinuwala","Heavy Rain / Flood","2023.10.01-08","2","5","","","","","2","","","","",""
