"Cutting Faliure","2021.12.04","2","9","","","","","2","","","","",""
"ගාල්ල","","","","","","","","","","","","",""
"14
Town & Gravets
fhyp      
දකුනු පලාත","Collapse of a Wall
2021.12.03","1","4","","","","","1","","","","",""
"Galle
njd;","","","","","","","","","","","","",""
"Lightning
khfhzk;","2021.12.04","1","3","","","","","1","","","","",""
"Southern","","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","4","16","0","0","0","0","4","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","4","16","0","0","0","0","4","0","0","0","0","0"
"කළුතර","","","","","","","","","","","","",""
"15
Dodangoda
Drowning 
fSj;Jiw","2021.12.03","","","1","","","","","","","","",""
"Western","","","","","","","","","","","","",""
"Kalutara","","","","","","","","","","","","",""
"Nky;","","","","","","","","","","","","",""
"khfhzk   
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","0","0","1","0","0","0","0","0","0","0","0","0"
"බස්ත්‍රනාහිර පලාත","","","","","","","","","","","","",""
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","0","0","1","","0","0","0","0","0","0","0","0"
"මුළු එකතුව   nkhj;jf; $l;Lj;njhif  GRAND TOTAL","","13581","50528","4","3","3","4","84","12","0","21","370","1335"
"","","","","රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002","","","","","","","","",""
