"","Weather Forecast for Main Cities","","","","1-Jun-2024"
"","","","Relative","Humidity",""
"","","Temperature (0C)","","",""
"City","","","(%)","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","26","95","70","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","34","28","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","27","90","75","Showers at times"
"Galle","29","26","95","85","Showers at times"
"Jaffna","35","28","95","75","Mainly fair"
"Kandy","30","23","95","85","Showers at times"
"Nuwara-Eliya","22","14","95","85","Showers at times"
"Ratnapura","30","25","95","85","Showers at times"
"Trincomalee","35","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Mannar","32","28","95","80","Mainly fair"
