"","Weather Forecast for Main Cities","","","","29-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","24","90","60","Mainly fair"
"Batticaloa","30","26","80","70","A few showers"
"Colombo","35","26","80","50","Showers or thundershowers are likely after 4.00p.m"
"Galle","32","26","90","50","Showers or thundershowers after 2.00p.m"
"Jaffna","32","24","90","65","Mainly fair"
"Kandy","31","22","90","60","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","20","12","90","70","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","35","22","95","55","Showers or thundershowers after 2.00p.m"
"Trincomalee","31","26","80","60","A few showers"
"Mannar","33","27","80","60","Mainly fair"
