"","Weather Forecast for Main Cities","","","Date :","20-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","24","85","55","Mainly fair"
"Batticaloa","34","26","85","55","Mainly fair"
"Colombo","30","25","90","70","Several spells of showers"
"Galle","29","24","95","85","Showers at times"
"Jaffna","32","28","85","60","Mainly fair"
"Kandy","27","23","90","70","Showers at times"
"Nuwara-Eliya","17","15","95","85","Showers at times"
"Ratnapura","30","23","95","75","Showers at times"
"Trincomalee","34","26","85","50","Mainly fair"
"Mannar","32","27","90","70","Mainly fair"
