"","Weather Forecast for Main Cities","","","","29-Jun-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","33","25","90","60","Mainly fair"
"Batticaloa","34","26","85","70","Mainly fair"
"Colombo","31","25","90","75","Several spells of showers"
"Galle","29","25","90","80","Several spells of showers"
"Jaffna","33","24","80","65","Mainly fair"
"Kandy","28","21","95","80","Several spells of showers"
"Nuwara-Eliya","19","13","95","85","Several spells of showers"
"Ratnapura","31","24","95","85","Several spells of showers"
"Trincomalee","35","26","85","55","Mainly fair"
"Mannar","32","27","80","70","Mainly fair"
