"","Weather Forecast for Main Cities","","","Date :","5-May-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","90","60","Mainly fair"
"Batticaloa","34","26","85","70","Mainly fair"
"Colombo","32","27","90","70","Several spells of light showers"
"Galle","31","26","90","75","Several spells of showers"
"Jaffna","34","28","85","70","Mainly fair"
"Kandy","33","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","23","15","95","75","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","33","24","95","65","Showers or thundershowers after 2.00p.m"
"Trincomalee","34","26","90","60","Mainly fair"
"Mannar","33","28","90","65","Showers or thundershowers are likely after 2.00p.m"
