"","Weather Forecast for Main Cities","","","","6-May-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","37","27","90","50","Mainly fair"
"Batticaloa","33","27","90","70","Mainly fair"
"Colombo","33","27","85","70","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","28","90","75","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","29","80","60","Mainly fair"
"Kandy","34","24","90","55","Mainly fair"
"Nuwara-Eliya","26","12","95","55","Mainly fair"
"Ratnapura","36","26","95","60","Showers or thundershowers after 2.00p.m"
"Trincomalee","37","27","90","55","Mainly fair"
"Mannar","34","28","95","70","Mainly fair"
