"","Weather Forecast for Main Cities","","","","23-Feb-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","90","45","Mainly fair"
"Batticaloa","31","24","90","70","Mainly fair"
"Colombo","33","25","85","60","Mainly fair"
"Galle","32","26","85","50","Mainly fair"
"Jaffna","32","24","90","50","Mainly fair"
"Kandy","33","20","85","45","Mainly fair"
"Nuwara-Eliya","22","12","95","50","Showers or thundershowers are likely after 2.00p.m"
"Ratnapura","36","24","90","50","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","32","24","90","60","Mainly fair"
"Mannar","33","25","90","60","Mainly fair"
