"","Weather Forecast for Main Cities","","","","4-Jul-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","33","26","95","55","Showers or thundershowers are likely after 2.00p.m"
"Batticaloa","32","27","90","65","Showers or thundershowers are likely after 2.00p.m"
"Colombo","30","28","85","70","Several spells of showers"
"Galle","30","28","90","75","Several spells of showers"
"Jaffna","31","27","90","75","Mainly fair"
"Kandy","29","23","95","65","Several spells of showers"
"Nuwara-Eliya","23","15","95","40","Several spells of showers"
"Ratnapura","32","25","95","65","Several spells of showers"
"Trincomalee","36","27","85","50","Showers or thundershowers are likely after 2.00p.m"
"Mannar","31","28","90","75","A few showers"
