"","Weather Forecast for Main Cities","","","Date :","30-Jan-2025"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","29","23","95","70","Showers or thundershowers at times"
"Batticaloa","28","24","95","75","Showers or thundershowers at times"
"Colombo","29","25","95","70","Showers or thundershowers after 2.00p.m"
"Galle","29","24","95","75","Showers or thundershowers at times"
"Jaffna","28","23","95","70","Showers or thundershowers at times"
"Kandy","28","20","95","70","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","18","13","95","75","Showers or thundershowers at times"
"Ratnapura","30","22","95","80","Showers or thundershowers after 2.00p.m"
"Trincomalee","28","24","90","70","Showers or thundershowers at times"
"Mannar","28","25","90","75","Showers or thundershowers at times"
