"","Weather Forecast for Main Cities","","","","31-Mar-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","24","95","50","Mainly fair"
"Batticaloa","32","24","90","70","Mainly fair"
"Colombo","32","25","95","65","Mainly fair"
"Galle","30","25","95","75","Showers or thundershowers are likely after 4.00p.m"
"Jaffna","34","24","95","60","A few showers"
"Kandy","32","22","95","50","Mainly fair"
"Nuwara-Eliya","23","10","95","30","Mainly fair"
"Ratnapura","35","23","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","33","24","90","70","Mainly fair"
"Mannar","33","26","85","65","Mainly fair"
"","ප්‍රධාන  නගර සදහා කාලගුණ අනාවැකිය","","","දිනය :     2023-03-31",""
"","උෂ්ණත්වය(යස. අංශ්‍ක)","","සායේක්ෂ ආර්තරතාවය(%)","",""
"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","35","24","95","50","ප්‍රධාන වශ්‍යයන් වැසි රහිත"
"මඩකලපුව","32","24","90","70","ප්‍රධාන වශ්‍යයන් වැසි රහිත"
"යකාළඹ","32","25","95","65","ප්‍රධාන වශ්‍යයන් වැසි රහිත"
"ගාල්ල","30","25","95","75","සවස 4.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"යාපනය","34","24","95","60","වැසි ස්වල්පයක්"
"මහනුවර","32","22","95","50","ප්‍රධාන වශ්‍යයන් වැසි රහිත"
"නුවරඑළිය","23","10","95","30","ප්‍රධාන වශ්‍යයන් වැසි රහිත"
"රත්නපුරය","35","23","95","55","සවස 2.00න් පසුව වැසි යහෝ ගිගුරුම් සහිත වැසි ඇති  විය හැක"
"ිකුණාමලය","33","24","90","70","ප්‍රධාන වශ්‍යයන් වැසි රහිත"
"මන්නාරම","33","26","85","65","ප්‍රධාන වශ්‍යයන් වැසි රහිත"
