"නගරය","","","","",""
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","24","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","36","26","85","60","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","31","28","80","65","වැසි ස්වල්පයක්"
"ගාල්ල","30","28","90","70","වැසි ස්වල්පයක්"
"යාපනය","34","28","70","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","29","22","90","60","වැසි ස්වල්පයක්"
"නුවරඑළිය","20","14","90","65","වැසි ස්වල්පයක්"
"රත්නපුරය","32","25","90","65","වැසි ස්වල්පයක්"
"ත්‍රිකුණාමලය","36","26","70","60","ප්‍රධාන වශයයන් වැසි රහිත"
