"","Weather Forecast for Main Cities","","","Date :","1-Jul-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","34","24","90","60","Mainly fair"
"Batticaloa","36","26","85","60","Mainly fair"
"Colombo","31","28","80","65","A few showers"
"Galle","30","28","90","70","A few showers"
"Jaffna","34","28","70","60","Mainly fair"
"Kandy","29","22","90","60","A few showers"
"Nuwara-Eliya","20","14","90","65","A few showers"
"Ratnapura","32","25","90","65","A few showers"
"Trincomalee","36","26","70","60","Mainly fair"
"Mannar","32","28","80","70","Mainly fair"
