"","Weather Forecast for Main Cities","","","","2024-07-26"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","",""
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","85","50","Mainly fair"
"Batticaloa","36","27","85","45","Mainly fair"
"Colombo","32","28","90","70","Showers at times"
"Galle","30","27","90","80","Showers at times"
"Jaffna","33","28","85","70","Mainly fair"
"Kandy","31","24","95","60","Showers at times"
"Nuwara-Eliya","21","15","90","65","Showers at times"
"Ratnapura","34","25","95","60","Showers at times"
"Trincomalee","37","27","75","45","Mainly fair"
"Mannar","32","28","85","70","Mainly fair"
