"න්‍ගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධ්‍පුරය","36","26","85","50","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"මඩකලපුව","36","27","85","45","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"හකාළඹ","32","28","90","70","විටින් විට වැසි"
"ගාල්ල","30","27","90","80","විටින් විට වැසි"
"යාපනය","33","28","85","70","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
"ම නුවර","31","24","95","60","විටින් විට වැසි"
"නුවරඑළිය","21","15","90","65","විටින් විට වැසි"
"රත්නපුරය","34","25","95","60","විටින් විට වැසි"
"ිකුණාමලය","37","27","75","45","ප්‍රධ්‍ාන වශහයන් වැසි රහිත"
