"","","","Page 3","","","","","","","","",""
"Delft","1031","3071","","","","","","","","","",""
"යාපනය","","","","","","","","","","","",""
"Velanai","2798","9642","","","","","","","","","",""
"12
Drought
aho;g;ghzk;","2020.03.27","","","","","","","","","","",""
"Kytes","2422","7848","","","","","","","","","",""
"Jaffna","","","","","","","","","","","",""
"Karainagar","2760","8297","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","9011","28858","0","0","0","0","0","0","0","0","0","0"
"Nanaddan
මන්නාරම","233","673","","","","","","","","","",""
"උතුරු පලාත","","","","","","","","","","","",""
"13
Drought 
kd;dhH    
Musali","2020.02.15
3722","14627","","","","","","","","","",""
"tl khfhzk","","","","","","","","","","","",""
"Mannar
Madhu","237","727","","","","","","","","","",""
"Northen","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","4192","16027","0","0","0","0","0","0","0","0","0","0"
"කිලිපනාච්චිය","","","","","","","","","","","",""
"14
Poonakary
Drought
fpspnehr;rp","2020.04.22
1263","4306","","","","","","","","","",""
"Killinochchi","","","","","","","","","","","",""
"දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","1263","4306","0","0","0","0","0","0","0","0","0","0"
"පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","14466","49191","0","0","0","0","0","0","0","0","0","0"
