"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","819","3198","4","0","0","11","647","10","1","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","819","3198","4","0","0","11","647","10","1","0","0","0",""
"","රත්නපුර","","","","","","","","","","","","","",""
"","3
,uj;jpdGhp","Rathnapura
Landslide Risk","2021.11.11","","","","","","","","","1","3","","7 Kathrik Community Hall"
"","Rathnapura","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","0","0","0","0","0","0","0","0","0","1","3","7",""
"","","Dehiovita
Cutting Faliure","2021.11.19
1","4","","","","","","","","","","",""
"ස්ත්‍බරගමුව","","Warakapola
Cutting Faliure","2021.11.19
2","5","","","","","","","","","","",""
"පලාත","","","","","","","","","","","","","","",""
"","","Mawanella
Cutting Faliure","2021.11.10-18
15","53","","","","","","","","","","",""
"rg;ufKt","කෑගල්ල","","","","","","","","","","","","","",""
"Sabaragamuw","4
Nffhiy","","","","","","","","","","","","","","1. Eeriyagolla Community"
"","","Cutting Faliure","2021.11.11","","","","","","","","","2","9","29","Hall"
"a","Kegalle","","","","","","","","","","","","","",""
"","","Rambukkana","","","","","","","","","","","","","2.Sri Sunethrarama Temple"
