"","Weather Forecast for Main Cities","","","","16-Apr-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","35","25","95","55","Mainly fair"
"Batticaloa","33","26","95","70","Mainly fair"
"Colombo","32","25","90","70","Mainly fair"
"Galle","31","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","36","24","95","50","Mainly fair"
"Kandy","33","23","95","55","Mainly fair"
"Nuwara-Eliya","23","9","95","60","Mainly fair"
"Ratnapura","34","24","95","55","Showers or thundershowers after 4.00p.m"
"Trincomalee","34","26","95","70","Mainly fair"
"Mannar","34","26","90","55","Showers or thundershowers are likely after 4.00p.m"
