"නගරය","","","","","කාලගුණය"
"","උපරිම","අවම","උපරිම","අවම",""
"අනුරාධපුරය","34","26","90","60","ප්‍රධාන වශයයන් වැසි රහිත"
"මඩකලපුව","35","27","80","55","ප්‍රධාන වශයයන් වැසි රහිත"
"යකාළඹ","29","24","95","75","විටින් විට වැසි"
"ගාල්ල","29","24","90","80","විටින් විට වැසි"
"යාපනය","32","27","85","70","ප්‍රධාන වශයයන් වැසි රහිත"
"මහනුවර","28","24","90","80","විටින් විට වැසි"
"නුවරඑළිය","18","15","95","85","විටින් විට වැසි"
"රත්නපුරය","30","23","95","70","විටින් විට වැසි"
"ත්‍රිකුණාමලය","35","27","80","50","ප්‍රධාන වශයයන් වැසි රහිත"
