"","Weather Forecast for Main Cities","","","","19-Apr-2024"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","36","26","90","40","Mainly fair"
"Batticaloa","32","25","95","65","Mainly fair"
"Colombo","33","26","90","65","Showers or thundershowers are likely after 2.00p.m"
"Galle","32","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Jaffna","35","28","90","55","A few showers"
"Kandy","34","22","95","50","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","22","12","95","75","Mainly fair"
"Ratnapura","35","24","95","55","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","35","26","95","60","Mainly fair"
"Mannar","33","27","90","70","A few showers"
