"","மாவட்டம் District","","","","","","","KOik","","","","","","","","",""
"","","","Families","People","","","","","Partially","சேதங்கள்; Small,","","Damages to","","f   No.","s;","","Persons"
"","Division","","","","","","","Fully","","","","","","","","",""
"","","","","","","","","","","Medium,","","critical","","of Safety","Families","",""
"","","","","","","","","","","Enterprises","","Infrastructure","","Locations","","",""
"","","","","","","","","","","Damages","","","","","","",""
"","හම්බන්තොට","","","","","","","","","","","","","","","",""
"දකුනු පලොත","1
Beliatta
High Wind
`k;ghe;Njhl;il","2022.12.19","2","7","","","","","2","","","","","","","",""
"","Hambantota","","","","","","","","","","","","","","","",""
"njd; khfhzk;","","","","","","","","","","","","","","","","",""
"Southern","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","2","7","0","0","0","0","2","","0","","0","0","","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","2","7","0","0","0","0","2","","0","","0","0","","0","0"
"","Damana","2022.12.19/21","6","14","","","","","5","","","","","","","",""
"","High Wind","","","","","","","","","","","","","","","",""
"","Sammanthurai","2022.12.19/20","6","22","","","","","6","","","","","","","",""
"","Thirukkovil
Lightning","","1","5","","","","","1","","","","","","","",""
"","අම්පොර","","","","","","","","","","","","","","","",""
"","2
Uhana","2022.12.19","1","1","","","","","1","","","","","","","",""
"","mk;ghiw Ampara","","","","","","","","","","","","","","","",""
"","Padiyathalawa","","1","3","","","","","1","","","","","","","",""
"","High Wind","","","","","","","","","","","","","","","",""
"","Mahaoya","","2","5","","","","1","1","","","","","","","",""
"නැ්ෙනහිර පලොත","","2022.12.20","","","","","","","","","","","","","","",""
"","Navithanveli","","2","5","","","","","2","","","","","","","",""
"fpof;F  Eastern","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","19","55","0","0","0","1","17","","0","","0","0","","0","0"
"","ත්‍රීකුණොමලය 
Muthur","","1","4","","","","","1","","","","","","","",""
"","3
High Wind
jp.kiy","2022.12.19","","","","","","","","","","","","","","",""
"","Kantale
Trincomalee","","2","5","","","","","2","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","3","9","0","0","0","0","3","","0","","0","0","","0","0"
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","22","64","0","0","0","1","20","","0","","0","0","","0","0"
"","මුලතිව්","","","","","","","","","","","","","","","",""
"උතුරු පලොත","4
Pudukudirippu
High Wind
Ky;iyj;jPT","2022.12.20","1","2","","","","","1","","","","","","","",""
"","Mulaitivu","","","","","","","","","","","","","","","",""
"tl khfhzk;","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","1","2","0","0","0","0","1","","0","","0","0","","0","0"
"Northen","","","","","","","","","","","","","","","","",""
"","පළොත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","1","2","0","0","0","0","1","","0","","0","0","","0","0"
"","Lunugala
High Wind","2022.12.15","1","2","","","","","1","","","","","","","",""
"","Bandarawela
Heavy Rain/High","2022.12.16","4","13","","","","","4","","","","","","","",""
"","බදුල්ල","","","","","","","","","","","","","","","",""
"","Wind
5
Uwaparanagama","2022.12.18","4","16","","","","","4","","","","","","","",""
"ඌව","gJs;is  Badulla","","","","","","","","","","","","","","","",""
"Cth khfhzk;","Kandaketiya
Heavy rain","2022.12.18","1","4","","","","","1","","","","","","","",""
"Uva","Rolling Stones
Megahakiula","2022.12.19","2","5","","","","","2","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","12","40","0","0","0","0","12","","0","","0","0","","0","0"
