"","","","","","","","","","Fully","","Partiall","Small, Medium,","","Damages to","","of Safety","","","",""
"","","","","","","","","People","","","","","","","","","","Families","",""
"","","","","","","","","","","","y","Enterprises","","critical","","Location","","","",""
"","","","","","","","","","","","","Damages","","Infrastructure","","s","","","",""
"","බදුල්ල","","","","","","","","","","","","","","","","","","",""
"ඌව","","","","","","","","","","","","","","","","","","","",""
"","1
gJs;is     
Haldummulla","High Wind","2020.02.14","1","6","","","","","","1","","","","","","1","1","","6 Haldummulla Community Hall"
"Cth khfhzk;","","","","","","","","","","","","","","","","","","","",""
"","Badulla","","","","","","","","","","","","","","","","","","",""
"Uva","","","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1","6","0","0","0","","0","1","","0","","0","","1","1","6",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","1","6","0","0","0","","0","1","","0","","0","","1","1","6",""
"","Ruwanwella","","2020.01.17","220","900","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","Distribution of drinking water"
"","Bulathkohupitiya
කෑගල්ල","","2020.02.10","61","277","","","","","","","","","","","","","","",""
"","2
Nffhiy   
Deraniyagala","Drought","2020.02.06","225","960","","","","","","","","","","","","","","",""
"","Kegalle
Galigamuwa","","2020.02.13","75","312","","","","","","","","","","","","","","",""
"ස්ත්‍බරගමුව පලාත","","","","","","","","","","","","","","","","","","","",""
"","Warakapola","","2020.02.20","287","1248","","","","","","","","","","","","","","",""
"rg;ufKt","","","","","","","","","","","","","","","","","","","",""
"Sabaragamuwa","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","868","3697","0","0","0","","0","0","","0","","0","","0","0","0",""
"","රත්නපුර","","","","","","","","","","","","","","","","","","",""
"","3
Eheliyagoda
,uj;jpdGhp","Drought","2020.02.07","1921","7959","","","","","","","","","","","","","","",""
"","Rathnapura","","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","1921","7959","0","0","0","","0","0","","0","","0","","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","2789","11656","0","0","0","","0","0","","0","","0","","0","0","0",""
"","මහනුවර","","","","","","","","","","","","","","","","","","",""
"","4
Akurana
fz;b","Drought","2020.02.11","350","1213","","","","","","","","","","","","","","",""
"","Kandy","","","","","","","","","","","","","","","","","","",""
"මධ්‍යම පලාත","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","350","1213","0","0","0","","0","0","","0","","0","","0","0","0",""
"kj;jpa khfhzk;","නුවරඑලිය 
Ambagamuwa","","2020.02.16","8","32","","","","","8","","","","","","","1","8","","32 Primary Government Dispensary"
"Central","5
Etnuypah","Fire","","","","","","","","","","","","","","","","","",""
"","Nuwara Eliya","","2020.02.20","6","37","","","","","1","","","","","","","1","6","","37 Dayagama East Day Care Centre"
"","Nuwara Eliya","","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","14","69","0","0","0","","9","0","","0","","0","","2","14","69",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","364","1282","0","0","0","","9","0","","0","","0","","2","14","69",""
"","Kalutara","","","19776","78359","","","","","","","","","","","","","","",""
"","Beruwala","Dissolving salts","","22527","103665","","","","","","","","","","","","","","",""
"","Panadura
කළුතර","in drinking water","","3604","17040","","","","","","","","","","","","","","",""
"","6
fSj;Jiw   
Dodangoda","","2020.01.20","4545","13664","","","","","","","","","","","","","","","Distribution of drinking water"
"","Kalutara
Millaniya","","","480","1800","","","","","","","","","","","","","","",""
"බස්ත්‍රනාහිර පලාත","Mathugama","Drought","","63","217","","","","","","","","","","","","","","",""
"Nky; khfhzk","","","","","","","","","","","","","","","","","","","",""
"","Horana","","","180","780","","","","","","","","","","","","","","",""
"Western","","","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","51175","215525","0","0","0","","0","0","","0","","0","","0","0","0",""
"","ගම්පහ","","","","","","","","","","","","","","","","","","",""
"","7
Diwulapitiya
fk;g`h","Drought","2020.02.24","900","2973","","","","","","","","","","","","","","",""
"","Gampaha","","","","","","","","","","","","","","","","","","",""
"","දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total","","","900","2973","0","0","0","","0","0","","0","","0","","0","0","0",""
"","පළාත් ඵකතුව khfhz $l;Lj;njhif  Province Total","","","52075","218498","0","0","0","","0","0","","0","","0","","0","0","0",""
