"","Weather Forecast for Main Cities","","","Date :","22-Jan-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","31","22","95","80","Several spells of showers"
"Batticaloa","28","24","95","85","Several spells of showers"
"Colombo","33","24","90","60","Showers or thundershowers"
"Galle","28","24","90","80","Showers or thundershowers"
"Jaffna","29","24","90","80","A few showers"
"Kandy","28","21","95","80","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","18","14","95","85","Several spells of showers"
"Ratnapura","33","23","95","75","Showers or thundershowers after 2.00p.m"
"Trincomalee","29","25","90","80","Several spells of showers"
"Mannar","28","25","90","80","Showers or thundershowers after 2.00p.m"
