"","Weather Forecast for Main Cities","","","Date :","2-Mar-2025"
"","Temperature (0C)","","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","32","23","95","85","Several spells of showers"
"Batticaloa","30","23","95","80","Showers or thundershowers at times"
"Colombo","31","25","95","70","Showers or thundershowers after 2.00p.m"
"Galle","30","24","95","80","Showers or thundershowers at times"
"Jaffna","31","24","95","85","Several spells of showers"
"Kandy","30","22","95","80","Showers or thundershowers after 2.00p.m"
"Nuwara-Eliya","21","14","95","85","Showers or thundershowers at times"
"Ratnapura","33","23","95","70","Showers or thundershowers after 2.00p.m"
"Trincomalee","30","23","95","75","Showers or thundershowers at times"
"Mannar","32","23","95","85","Several spells of showers"
