"","Weather Forecast for Main Cities","","","","19-May-2023"
"","","Temperature (0C)","Relative Humidity (%)","",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","95","65","Mainly fair"
"Batticaloa","35","26","95","70","Mainly fair"
"Colombo","32","27","85","75","A few showers"
"Galle","30","26","95","85","A few showers"
"Jaffna","33","24","85","70","Mainly fair"
"Kandy","31","22","95","60","Mainly fair"
"Nuwara-Eliya","24","14","90","45","Mainly fair"
"Ratnapura","32","24","95","65","Showers or thundershowers are likely after 2.00p.m"
"Trincomalee","35","26","95","60","Mainly fair"
"Mannar","33","28","90","75","Mainly fair"
