"","Weather Forecast for Main Cities","","","","2024-08-27"
"","","Temperature (0C)","","Relative Humidity (%)",""
"City","","","","","Weather"
"","Max","Min","Max","Min",""
"Anuradhapura","34","25","90","65","Mainly fair"
"Batticaloa","34","26","90","70","Showers or thundershowers are likely after 2.00p.m"
"Colombo","31","27","85","70","Several spells of light showers"
"Galle","30","27","90","75","Several spells of light showers"
"Jaffna","32","27","80","70","Mainly fair"
"Kandy","30","22","95","65","Showers or thundershowers are likely after 2.00p.m"
"Nuwara-Eliya","21","14","90","65","Several spells of light showers"
"Ratnapura","33","24","90","65","Several spells of light showers"
"Trincomalee","35","26","90","60","Mainly fair"
"Mannar","31","27","85","80","Mainly fair"
